,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mangan,55,IN,1576095806,73,27.5,88.54,35.92,5.06
1,Punta Arenas,90,CL,1576095372,57,-53.16,-70.91,55.4,19.46
2,Busselton,23,AU,1576095371,37,-33.64,115.35,64.99,15.95
3,Cockburn Town,0,TC,1576095474,79,21.46,-71.14,79.54,18.03
4,Yellowknife,20,CA,1576095374,67,62.45,-114.38,-27.4,3.36
5,Chokurdakh,100,RU,1576095385,96,70.62,147.9,-22.02,3.38
6,Xichang,94,CN,1576095807,97,27.88,102.25,32.4,2.82
7,Bonthe,80,SL,1576095807,79,7.53,-12.5,80.73,5.26
8,Bredasdorp,82,ZA,1576095808,82,-34.53,20.04,69.01,13.87
9,Rikitea,97,PF,1576095808,81,-23.12,-134.97,73.45,26.15
10,Roald,40,NO,1576095808,75,62.58,6.12,43.0,21.92
11,Puerto Carreno,20,CO,1576095745,49,6.19,-67.49,91.4,8.05
12,Albany,40,US,1576095760,43,42.65,-73.75,35.01,8.05
13,Kushiro,80,JP,1576095809,97,43.11,144.15,38.17,0.94
14,Mehamn,90,NO,1576095809,92,71.03,27.85,26.6,26.4
15,Ostrovnoy,100,RU,1576095809,90,68.05,39.51,23.92,24.18
16,Tabou,100,CI,1576095809,91,4.42,-7.36,76.5,1.97
17,Khatanga,100,RU,1576095809,87,71.98,102.47,-7.19,9.37
18,Mount Isa,0,AU,1576095397,64,-20.73,139.49,71.6,9.91
19,Teya,75,MX,1576095810,52,21.05,-89.07,88.0,4.7
20,Bethel,90,US,1576095317,86,60.79,-161.76,30.2,16.11
21,Oranjemund,100,ZA,1576095473,88,-28.55,16.43,60.94,1.43
22,New Norfolk,75,AU,1576095810,47,-42.78,147.06,57.2,13.87
23,Saint-Philippe,90,CA,1576095811,58,45.36,-73.48,28.99,10.29
24,Puerto Madryn,40,AR,1576095549,11,-42.77,-65.04,80.6,28.86
25,Avarua,94,CK,1576095396,88,-21.21,-159.78,78.8,16.11
26,Baiyin,0,CN,1576095811,71,36.55,104.13,8.6,6.71
27,Port Alfred,19,ZA,1576095383,95,-33.59,26.89,61.0,3.0
28,Dordrecht,90,NL,1576095811,100,51.8,4.68,43.0,8.05
29,Itamaraju,0,BR,1576095812,85,-17.04,-39.53,75.13,6.51
30,Hithadhoo,100,MV,1576095384,75,-0.6,73.08,81.46,3.94
31,Puerto Ayora,20,EC,1576095372,54,-0.74,-90.35,84.2,19.46
32,Hobart,75,AU,1576095183,47,-42.88,147.33,57.2,17.22
33,Bluff,12,AU,1576095812,75,-23.58,149.07,74.55,12.62
34,San Patricio,0,PY,1576095813,36,-26.98,-56.83,93.74,4.07
35,Qaanaaq,0,GL,1576095391,53,77.48,-69.36,-8.03,8.63
36,Kaitangata,100,NZ,1576095459,84,-46.28,169.85,59.0,10.0
37,Sretensk,8,RU,1576095813,97,52.24,117.7,-8.73,3.04
38,Ushuaia,75,AR,1576095371,53,-54.81,-68.31,53.6,23.04
39,Fort Nelson,90,CA,1576095814,77,58.81,-122.69,1.4,4.7
40,Kapaa,1,US,1576095380,78,22.08,-159.32,80.01,6.93
41,Pisco,90,PE,1576095456,30,-13.71,-76.2,71.6,8.05
42,Hilo,90,US,1576095394,83,19.71,-155.08,79.0,8.05
43,Neiba,20,DO,1576095814,66,18.49,-71.42,87.8,11.41
44,Carnarvon,1,ZA,1576095401,24,-30.97,22.13,69.33,4.88
45,Saint Anthony,90,US,1576095815,86,43.97,-111.68,30.99,9.17
46,Mataura,100,NZ,1576095815,89,-46.19,168.86,57.0,3.0
47,Moroni,40,GR,1576095815,87,35.09,24.92,55.99,6.93
48,Saldanha,67,PT,1576095425,93,41.42,-6.55,39.94,8.86
49,Araouane,56,ML,1576095485,18,18.9,-3.53,67.8,12.66
50,Van,75,TR,1576095816,73,38.51,43.37,32.0,3.36
51,Progreso,90,UY,1576095816,26,-34.68,-56.22,93.2,6.93
52,Havre-Saint-Pierre,1,CA,1576095816,56,50.23,-63.6,14.0,10.29
53,Jamestown,100,AU,1576095367,61,-33.21,138.6,56.3,9.53
54,Isla Mujeres,75,MX,1576095816,74,21.23,-86.73,82.4,8.05
55,Hermanus,9,ZA,1576095435,82,-34.42,19.24,72.0,7.0
56,San Quintin,4,PH,1576095396,81,17.54,120.52,69.4,6.35
57,Mar del Plata,7,AR,1576095393,51,-46.43,-67.52,53.24,43.22
58,Wamba,80,CD,1576095817,97,2.14,27.99,64.11,2.1
59,Egvekinot,100,RU,1576095817,97,66.32,-179.17,26.53,9.89
60,Vaini,0,IN,1576095373,80,15.34,74.49,63.52,2.42
61,Vangaindrano,100,MG,1576095818,95,-23.35,47.6,73.56,2.91
62,Druzhba,100,UA,1576095818,95,52.05,33.94,34.2,4.27
63,Hamilton,75,CA,1576095215,67,43.26,-79.87,27.0,23.04
64,Norman Wells,5,CA,1576095403,69,65.28,-126.83,-13.0,8.05
65,Myitkyina,69,MM,1576095819,63,25.38,97.4,55.89,3.76
66,Margate,75,AU,1576095819,47,-43.03,147.26,57.2,13.87
67,Skegness,68,GB,1576095819,100,53.14,0.34,39.0,6.93
